component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.4021709,0.4021709
2,0.335713,0.7378839
3,0.22795124,0.96583515
4,0.023805909,0.9896411
5,0.0029194818,0.99256057
6,0.0024188727,0.99497944
7,0.00086322834,0.9958427
8,0.0006032993,0.996446
9,0.0005425181,0.99698853
10,0.00043594616,0.9974245
11,0.0003125671,0.99773705
12,0.00026678242,0.99800384
13,0.00020046937,0.9982043
14,0.00017084715,0.9983751
15,0.00014931781,0.9985244
16,0.00012516271,0.9986496
17,0.0001202146,0.9987698
18,0.000112944246,0.9988828
19,9.494523e-05,0.9989777
20,8.529817e-05,0.999063
21,7.6076634e-05,0.9991391
22,6.915171e-05,0.9992082
23,5.903919e-05,0.9992673
24,5.4160533e-05,0.99932146
25,4.8837876e-05,0.9993703
26,4.767554e-05,0.99941796
27,4.1083018e-05,0.999459
28,3.6701673e-05,0.99949574
29,3.4545654e-05,0.9995303
30,3.0597046e-05,0.9995609
31,2.915076e-05,0.99959004
32,2.4207657e-05,0.99961424
