component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.5171415,0.5171415
2,0.29865378,0.8157953
3,0.15002185,0.96581715
4,0.025761873,0.99157906
5,0.0027961782,0.9943752
6,0.0018832914,0.9962585
7,0.0006236108,0.9968821
8,0.0004828678,0.99736494
9,0.00039326324,0.9977582
10,0.00036084602,0.99811906
11,0.00026904902,0.9983881
12,0.00019299144,0.9985811
13,0.00016905321,0.99875015
14,0.00013787126,0.998888
15,0.00011422445,0.9990022
16,8.504571e-05,0.9990873
17,7.605763e-05,0.9991633
18,6.994808e-05,0.9992333
19,6.119018e-05,0.9992945
20,5.4515862e-05,0.99934906
21,4.807486e-05,0.99939716
22,4.4168188e-05,0.9994413
23,3.9309027e-05,0.9994806
24,3.604937e-05,0.99951667
25,3.295417e-05,0.9995496
26,3.1913707e-05,0.9995815
27,3.023367e-05,0.99961174
28,2.8288632e-05,0.99964005
29,2.4413006e-05,0.9996645
30,2.2261222e-05,0.9996867
31,1.9007915e-05,0.99970573
32,1.6827633e-05,0.99972254
