component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.5353634,0.5353634
2,0.29712796,0.83249134
3,0.12692088,0.9594122
4,0.026914889,0.9863271
5,0.003811962,0.99013907
6,0.003010126,0.9931492
7,0.0011445705,0.9942938
8,0.001056079,0.9953499
9,0.0007058461,0.9960557
10,0.0005552782,0.996611
11,0.00054525456,0.99715626
12,0.00034495338,0.9975012
13,0.0002536024,0.9977548
14,0.00022084046,0.99797565
15,0.00018263444,0.9981583
16,0.00014315025,0.99830145
17,0.00013483394,0.9984363
18,0.00011597323,0.99855226
19,0.00011063123,0.9986629
20,9.5189454e-05,0.9987581
21,8.827059e-05,0.99884635
22,8.555069e-05,0.9989319
23,7.427384e-05,0.99900615
24,7.2874136e-05,0.99907905
25,6.88194e-05,0.9991479
26,5.873306e-05,0.9992066
27,5.3583455e-05,0.9992602
28,4.8244332e-05,0.9993084
29,4.3173342e-05,0.99935156
30,3.9523205e-05,0.9993911
31,3.8647126e-05,0.9994297
32,3.2891163e-05,0.9994626
