Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
round_3,phase3,1,1,D1_4,2,0.012827084169781207,4.14130058436143e-06,0.9871687745296331
round_3,phase2,1,1,D1_4,1,0.07249785071300058,0.9219191512552851,0.00558299803171338
round_3,phase1,1,1,D1_4,0,0.9973429084411413,0.000115131542543869,0.002541960016315697
round_2,phase3,1,1,D1_4,0,0.9827846066562972,0.003008135087009853,0.014207258256692699
round_2,phase2,1,1,D1_4,2,1.2594336341336449e-05,0.15077744753184225,0.8492099581318172
round_2,phase1,1,1,D1_4,0,0.9999999065872743,1.285237066147844e-14,9.341271041567569e-08
round_4,phase3,1,1,D1_4,2,1.716338549477513e-14,3.7225221838841686e-11,0.9999999999627605
round_4,phase2,1,1,D1_4,2,0.320212626295077,2.9368373110009075e-06,0.6797844368676116
round_4,phase1,1,1,D1_4,1,0.007724433182079891,0.9891024309211119,0.0031731358968073707
round_1,phase3,1,1,D1_4,1,0.40318072108178377,0.5609144763793584,0.0359048025388593
round_1,phase2,1,1,D1_4,0,0.47398821654522405,0.44013224041866333,0.08587954303611164
round_1,phase1,1,1,D1_4,0,0.9856947747249513,1.7469316155711055e-07,0.014305050581886256
round_3,phase3,2,0,D1_4,2,7.722812411092607e-09,1.7435927052881477e-06,0.9999982486844831
round_3,phase2,2,0,D1_4,2,0.0032675882604230352,1.3092974657093194e-07,0.99673228080983
round_3,phase1,2,0,D1_4,0,0.9983508357842886,0.001345787638093815,0.0003033765776170203
round_2,phase3,2,0,D1_4,1,7.91632570904308e-05,0.9978913375403139,0.002029499202596639
round_2,phase2,2,0,D1_4,2,1.0331033070186415e-09,8.159217834982418e-16,0.9999999989668957
round_2,phase1,2,0,D1_4,2,0.04303815599775098,5.436786936970768e-13,0.9569618440017071
round_4,phase3,2,0,D1_4,1,0.0008740589769351143,0.9990422233789952,8.371764406923294e-05
round_4,phase2,2,0,D1_4,2,2.702724674691569e-05,0.0006045375600259059,0.9993684351932289
