Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1
round_3,phase3,1,1,D1_4,0,0.9999586685979244,4.133140207738238e-05
round_3,phase2,1,1,D1_4,1,0.020724037177417682,0.979275962822581
round_3,phase1,1,1,D1_4,1,0.027149909665604773,0.9728500903343963
round_2,phase3,1,1,D1_4,1,0.2091785442334649,0.7908214557665367
round_2,phase2,1,1,D1_4,0,0.5143505761469204,0.4856494238530786
round_2,phase1,1,1,D1_4,0,0.9999999800431143,1.9956886912461168e-08
round_4,phase3,1,1,D1_4,0,0.9999812709651013,1.8729034901808833e-05
round_4,phase2,1,1,D1_4,1,0.36768343619388083,0.63231656380612
round_4,phase1,1,1,D1_4,1,0.005876032825509985,0.9941239671744917
round_1,phase3,1,1,D1_4,0,0.5311152618811187,0.4688847381188815
round_1,phase2,1,1,D1_4,1,0.07360044306579268,0.9263995569342068
round_1,phase1,1,1,D1_4,0,0.9971642290788417,0.0028357709211575344
round_3,phase3,2,0,D1_4,0,0.9997045998083979,0.00029540019160272264
round_3,phase2,2,0,D1_4,1,0.2667913732710768,0.7332086267289236
round_3,phase1,2,0,D1_4,0,0.9042315321786393,0.09576846782136161
round_2,phase3,2,0,D1_4,1,0.05763552490089266,0.9423644750991066
round_2,phase2,2,0,D1_4,0,0.9980878347790907,0.0019121652209083426
round_2,phase1,2,0,D1_4,0,0.9265997664892703,0.07340023351072802
round_4,phase3,2,0,D1_4,0,0.8560005631825034,0.14399943681749716
round_4,phase2,2,0,D1_4,1,0.4566718301606863,0.5433281698393151
round_4,phase1,2,0,D1_4,1,0.012988811876423013,0.9870111881235774
round_1,phase3,2,0,D1_4,0,0.8598878536049144,0.14011214639508393
round_1,phase2,2,0,D1_4,1,0.4128907085034822,0.5871092914965188
round_1,phase1,2,0,D1_4,1,0.006271510044867689,0.9937284899551326
round_3,phase3,3,1,D1_4,0,0.6543664271535747,0.3456335728464237
round_3,phase2,3,1,D1_4,1,0.03815262186948345,0.9618473781305161
round_3,phase1,3,1,D1_4,1,0.268863358310559,0.7311366416894424
round_2,phase3,3,1,D1_4,1,0.031187600157189757,0.9688123998428101
round_2,phase2,3,1,D1_4,1,0.10501446016066537,0.8949855398393354
round_2,phase1,3,1,D1_4,0,0.9999999952221152,4.777884515155834e-09
round_4,phase3,3,1,D1_4,0,0.9999974121209246,2.5878790748539104e-06
round_4,phase2,3,1,D1_4,1,0.370144427710934,0.6298555722890657
round_4,phase1,3,1,D1_4,1,0.06684236268585732,0.933157637314142
round_1,phase3,3,1,D1_4,1,0.36237021464276015,0.6376297853572396
round_1,phase2,3,1,D1_4,0,0.8426706608528508,0.15732933914715028
round_1,phase1,3,1,D1_4,0,0.9975468669254263,0.002453133074573798
round_3,phase3,4,0,D1_4,0,0.99999893579403,1.0642059711814386e-06
round_3,phase2,4,0,D1_4,0,0.999999329584722,6.704152776924245e-07
round_3,phase1,4,0,D1_4,1,0.01735743309625798,0.9826425669037404
round_2,phase3,4,0,D1_4,1,0.12399879094449019,0.8760012090555086
round_2,phase2,4,0,D1_4,0,0.9323786324730146,0.06762136752698474
round_2,phase1,4,0,D1_4,1,0.07944996237115806,0.9205500376288411
round_4,phase3,4,0,D1_4,0,0.7291395591882938,0.2708604408117061
round_4,phase2,4,0,D1_4,0,0.9539207696468757,0.046079230353124764
round_4,phase1,4,0,D1_4,1,0.15882110094374882,0.8411788990562502
round_1,phase3,4,0,D1_4,0,0.6086637420675997,0.39133625793239935
round_1,phase2,4,0,D1_4,1,0.05512414909320096,0.9448758509067988
round_1,phase1,4,0,D1_4,1,0.026864115075508725,0.9731358849244905
round_3,phase3,5,0,D1_6,1,0.05463367541174467,0.9453663245882542
round_3,phase2,5,0,D1_6,0,0.6230607990429297,0.376939200957071
round_3,phase1,5,0,D1_6,0,0.8219051693663554,0.1780948306336435
round_2,phase3,5,0,D1_6,1,0.49785610914643846,0.5021438908535621
round_2,phase2,5,0,D1_6,1,0.14623076586553432,0.8537692341344668
round_2,phase1,5,0,D1_6,0,0.9999999997822258,2.1777174974585109e-10
round_4,phase3,5,0,D1_6,0,0.9557774829032158,0.044222517096785575
round_4,phase2,5,0,D1_6,1,0.289885525380263,0.7101144746197365
round_4,phase1,5,0,D1_6,0,0.9902868591132324,0.00971314088676675
round_1,phase3,5,0,D1_6,1,0.0385467552171233,0.9614532447828755
round_1,phase2,5,0,D1_6,1,0.0973304159547774,0.9026695840452208
round_1,phase1,5,0,D1_6,0,0.9484733520508285,0.05152664794917018
round_3,phase3,6,1,D1_6,0,0.9976986208928182,0.0023013791071824453
round_3,phase2,6,1,D1_6,1,0.010215733781180947,0.9897842662188198
round_3,phase1,6,1,D1_6,0,0.9999998243138121,1.7568618717383267e-07
round_2,phase3,6,1,D1_6,0,0.9637979181427945,0.03620208185720577
round_2,phase2,6,1,D1_6,1,0.006465740200877682,0.9935342597991226
round_2,phase1,6,1,D1_6,0,0.745908989383349,0.2540910106166515
round_4,phase3,6,1,D1_6,1,0.04877823067312658,0.951221769326874
round_4,phase2,6,1,D1_6,1,0.04825645577160661,0.9517435442283947
round_4,phase1,6,1,D1_6,1,0.0370655370759854,0.9629344629240142
round_1,phase3,6,1,D1_6,0,0.9562418711795293,0.04375812882047169
round_1,phase2,6,1,D1_6,0,0.9907494109073096,0.00925058909268959
round_1,phase1,6,1,D1_6,0,0.9354817515494759,0.06451824845052292
round_3,phase3,7,1,D1_1,0,0.9532013346429532,0.04679866535704582
round_3,phase2,7,1,D1_1,1,0.41026150528954036,0.5897384947104596
round_3,phase1,7,1,D1_1,1,0.11548696408439015,0.8845130359156097
round_2,phase3,7,1,D1_1,1,0.22687019329945474,0.7731298067005465
round_2,phase2,7,1,D1_1,1,0.3357718884467198,0.6642281115532793
round_2,phase1,7,1,D1_1,0,0.871790814966448,0.12820918503355194
round_4,phase3,7,1,D1_1,1,0.02302035861315883,0.9769796413868419
round_4,phase2,7,1,D1_1,0,0.5529734155183403,0.44702658448165955
round_4,phase1,7,1,D1_1,1,0.020769278962663815,0.9792307210373352
round_1,phase3,7,1,D1_1,0,0.998498893580562,0.0015011064194380974
round_1,phase2,7,1,D1_1,1,0.4056419887189522,0.5943580112810462
round_1,phase1,7,1,D1_1,0,0.9999994633106387,5.366893623177126e-07
round_3,phase3,8,0,D1_1,1,0.07972415035163544,0.9202758496483638
round_3,phase2,8,0,D1_1,0,0.5654547081019701,0.4345452918980295
round_3,phase1,8,0,D1_1,0,0.9993189498331373,0.0006810501668634052
round_2,phase3,8,0,D1_1,0,0.9974445965523105,0.002555403447687923
round_2,phase2,8,0,D1_1,1,0.21696873272806616,0.7830312672719348
round_2,phase1,8,0,D1_1,0,0.827311052189585,0.17268894781041677
round_4,phase3,8,0,D1_1,1,0.2740268742560838,0.7259731257439158
round_4,phase2,8,0,D1_1,0,0.5959528390598908,0.4040471609401085
round_4,phase1,8,0,D1_1,1,0.016428103740915967,0.9835718962590831
round_1,phase3,8,0,D1_1,0,0.9994212468845824,0.0005787531154176905
round_1,phase2,8,0,D1_1,0,0.9946828075355587,0.005317192464441776
round_1,phase1,8,0,D1_1,1,0.33674316327728593,0.6632568367227125
round_3,phase3,9,1,D1_1,1,0.00376123521578053,0.9962387647842192
round_3,phase2,9,1,D1_1,0,0.9999964689175292,3.531082470138676e-06
round_3,phase1,9,1,D1_1,0,0.9987131342888023,0.0012868657111971536
