Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3
round_3,phase3,1,1,D1_4,3,0.3895940900415292,7.368821827950108e-06,0.05464468532032352,0.5557538558163206
round_3,phase2,1,1,D1_4,1,0.00027919645549615696,0.9680125719245013,0.012523708067985884,0.019184523552016056
round_3,phase1,1,1,D1_4,1,0.0004435242741502356,0.9651721151536363,2.9775115109604393e-05,0.0343545854571047
round_2,phase3,1,1,D1_4,3,0.0062777158444059285,0.008086836550408795,0.02639470905520588,0.9592407385499778
round_2,phase2,1,1,D1_4,2,0.002644424405079744,0.0035776456195444773,0.9937476711701532,3.02588052228805e-05
round_2,phase1,1,1,D1_4,3,7.090466447401157e-08,5.564629470656686e-21,6.094261574701364e-19,0.9999999290953373
round_4,phase3,1,1,D1_4,2,0.030490009488182236,5.6554116694779e-12,0.9695099905057837,3.770320326869794e-13
round_4,phase2,1,1,D1_4,0,0.8930092710080517,0.00012872522402524914,1.8060860972645174e-05,0.1068439429069503
round_4,phase1,1,1,D1_4,1,0.00031822992956313757,0.9926530979908815,0.004048569010454551,0.002980103069100437
round_1,phase3,1,1,D1_4,1,0.04652588653906887,0.6800772240437407,0.0006188075441752802,0.2727780818730157
round_1,phase2,1,1,D1_4,1,0.00545212056920494,0.8447541047284398,0.009414103185818357,0.1403796715165373
round_1,phase1,1,1,D1_4,3,0.0022231822008631826,6.916347186988207e-08,6.043067203604987e-06,0.9977707055684616
round_3,phase3,2,0,D1_4,0,0.9997316273302285,1.510686356551922e-06,0.0002231126159478237,4.374936746687418e-05
round_3,phase2,2,0,D1_4,0,0.8762526200900218,3.1546840778554804e-07,0.11544006616974176,0.008306998271827914
round_3,phase1,2,0,D1_4,1,0.001124233746540425,0.793009900913619,6.354176178008455e-11,0.20586586527629847
round_2,phase3,2,0,D1_4,1,0.005376404384403597,0.9935889418283049,7.192955439800109e-06,0.0010274608318522691
round_2,phase2,2,0,D1_4,0,0.9996117235436777,1.6420404458295366e-15,0.00038827611438819597,3.419313239334438e-10
round_2,phase1,2,0,D1_4,2,6.45000907189963e-07,7.889934186445867e-17,0.995534238922706,0.004465116076385484
round_4,phase3,2,0,D1_4,1,0.00499211830339627,0.9822338200850058,1.1830776576279595e-13,0.01277406161147813
round_4,phase2,2,0,D1_4,2,0.004494594594684825,2.845540537119361e-05,0.9954717562497992,5.19375014397505e-06
round_4,phase1,2,0,D1_4,1,0.00011688187316423138,0.9849077479135334,0.008424989441558868,0.006550380771743328
round_1,phase3,2,0,D1_4,3,3.70704288083707e-07,2.364425719009768e-18,0.001807554454374128,0.9981920748413392
round_1,phase2,2,0,D1_4,3,0.01765627038975477,0.20835152254319855,0.08525292361579499,0.688739283451251
round_1,phase1,2,0,D1_4,1,0.0009092580299882757,0.9890441684932819,0.004051104482267227,0.00599546899446234
round_3,phase3,3,1,D1_4,3,0.008538862220684134,8.10262996321388e-06,0.3045945705052912,0.6868584646440601
round_3,phase2,3,1,D1_4,2,0.0003461596905261352,0.0010200485989142218,0.7437095330006827,0.25492425870987856
round_3,phase1,3,1,D1_4,3,0.0063412351784700345,0.00799254968089153,3.766665617398088e-07,0.9856658384740763
round_2,phase3,3,1,D1_4,1,0.0018693106361774962,0.9900359968823885,0.0010285002687744644,0.007066192212658091
round_2,phase2,3,1,D1_4,2,0.009953161355575592,2.35021641344585e-06,0.9892559939548853,0.0007884944731246628
round_2,phase1,3,1,D1_4,3,0.0017078730927685831,2.351219552468056e-14,1.6675411759550296e-14,0.99829212690719
round_4,phase3,3,1,D1_4,1,0.12125801171071221,0.8729883117010722,3.791651006351932e-09,0.005753672796564979
round_4,phase2,3,1,D1_4,2,0.027040465786589574,0.060182275102409505,0.9120253377397651,0.000751921371235295
round_4,phase1,3,1,D1_4,1,0.0066904134102404745,0.8791460784332737,4.706334017261509e-05,0.11411644481631368
round_1,phase3,3,1,D1_4,2,0.21736533136213787,0.2617056339393386,0.5111643245606207,0.009764710137902631
round_1,phase2,3,1,D1_4,2,0.00031573737349174124,3.604150985979784e-07,0.9996802770325741,3.6251788372004506e-06
round_1,phase1,3,1,D1_4,3,0.053839907401562775,0.0001264126695204951,0.191764918420294,0.7542687615086229
round_3,phase3,4,0,D1_4,3,8.624657871273199e-05,7.690750139770196e-13,8.829202476707419e-24,0.9999137534205151
round_3,phase2,4,0,D1_4,2,0.002554595364568475,1.0537058041791282e-11,0.9971286222850952,0.00031678233979932376
round_3,phase1,4,0,D1_4,1,0.0015172789059989824,0.8937284902436127,2.083499388396719e-05,0.10473339585650361
round_2,phase3,4,0,D1_4,1,0.001972814008013984,0.9828993215144047,4.136163344630096e-10,0.015127864063966389
round_2,phase2,4,0,D1_4,2,0.03775586846781366,2.097327563348936e-08,0.9622435695709058,5.409880065816468e-07
round_2,phase1,4,0,D1_4,1,0.0008534131463571153,0.753899120861354,0.006882816438521333,0.23836464955376602
round_4,phase3,4,0,D1_4,2,0.052469516096742254,0.12942945881238185,0.8180105956661584,9.042942471732266e-05
round_4,phase2,4,0,D1_4,2,0.00046538948897892227,1.1356676118452923e-10,0.9995344515196699,1.5887778287124592e-07
round_4,phase1,4,0,D1_4,3,0.00899914262159573,0.2926002471559854,0.25960781909740294,0.43879279112501574
round_1,phase3,4,0,D1_4,3,0.008936533038920115,0.007651214222786077,0.0026189796892658913,0.9807932730490289
round_1,phase2,4,0,D1_4,2,0.010691533389145304,0.04951567963323295,0.8763638870381445,0.0634288999394763
round_1,phase1,4,0,D1_4,1,0.003791628284395611,0.9418937554956177,0.001864808154213201,0.05244980806577454
round_3,phase3,5,0,D1_6,1,0.008408724391554778,0.605525086575932,0.33343216419672883,0.0526340248357852
round_3,phase2,5,0,D1_6,2,0.0007041110008946807,9.749187737491864e-07,0.9992611453531197,3.3768727212082435e-05
round_3,phase1,5,0,D1_6,0,0.5439643701058324,0.4019794217273013,3.976699176093469e-06,0.05405223146768889
round_2,phase3,5,0,D1_6,3,0.003695238882201755,6.68701193601182e-05,3.742291230411874e-05,0.996200468086135
round_2,phase2,5,0,D1_6,3,0.0010932038040379721,9.105247811034502e-06,0.48383717982846913,0.5150605111196819
round_2,phase1,5,0,D1_6,3,0.0022956617723351724,6.424890222586695e-10,2.979501260370222e-12,0.9977043375821976
round_4,phase3,5,0,D1_6,2,0.0023466605828969824,3.6718195879442575e-09,0.9976533356158956,1.2938859415867788e-10
round_4,phase2,5,0,D1_6,0,0.9920006331656706,3.3326365327791132e-06,0.00045136648719443126,0.0075446677106012485
round_4,phase1,5,0,D1_6,3,3.2129004267970416e-07,2.951909334180865e-15,2.916477292188689e-15,0.9999996787099531
round_1,phase3,5,0,D1_6,1,0.0011341821432448707,0.9927378566184702,0.0003576367454046204,0.005770324492881586
round_1,phase2,5,0,D1_6,2,0.00046712218582435297,0.03201979726974056,0.9596741972688485,0.007838883275587936
round_1,phase1,5,0,D1_6,1,0.019299229877524294,0.9731178279171206,0.0013830659879784262,0.006199876217376452
