Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5
round_3,phase3,1,1,D1_4,3,3.0280676e-09,0.0,8.308673e-19,1.0,0.0,0.0
round_3,phase2,1,1,D1_4,3,0.017609702,0.0,1.348807e-31,0.9823899,3.709563e-28,4.533262e-27
round_3,phase1,1,1,D1_4,0,1.0,0.0,0.0,0.0,9.1187e-41,0.0
round_2,phase3,1,1,D1_4,5,1.0907314e-09,8.363346e-24,0.0,0.0,2.3737937e-06,0.9999981
round_2,phase2,1,1,D1_4,3,0.0004939206,0.0,1.6344914e-10,0.9995061,2.550135e-29,0.0
round_2,phase1,1,1,D1_4,1,3.5877648e-10,1.0,0.0,0.0,5.6622673e-10,0.0
round_4,phase3,1,1,D1_4,2,7.292838e-30,7.6781717e-19,1.0,1.096911e-24,0.0,3.4422802e-29
round_4,phase2,1,1,D1_4,1,0.009973346,0.99002695,1.2656306e-27,8.547645e-24,7.024828e-24,0.0
round_4,phase1,1,1,D1_4,0,1.0,2.4310845e-20,0.0,1.06380745e-13,1.1017073e-11,6.3689968e-27
round_1,phase3,1,1,D1_4,0,0.99980307,6.5420766e-36,0.0,0.0,0.00019667791,0.0
round_1,phase2,1,1,D1_4,0,1.0,0.0,2.4592604e-22,4.4897172e-10,4.1107397e-26,0.0
round_1,phase1,1,1,D1_4,0,1.0,2.4380734e-16,0.0,6.9765477e-38,8.2778385e-24,0.0
round_3,phase3,2,0,D1_4,3,1.17330945e-11,0.0,1.4350482e-30,1.0,0.0,0.0
round_3,phase2,2,0,D1_4,0,1.0,4.143066e-38,0.0,4.924e-42,8.3986415e-13,0.0
round_3,phase1,2,0,D1_4,4,0.006126075,1.0751565e-33,0.0,0.0,0.9938743,0.0
round_2,phase3,2,0,D1_4,4,5.779102e-10,3.55309e-40,0.0,4.6355892e-31,1.0,1.0841128e-13
round_2,phase2,2,0,D1_4,2,4.671266e-25,3.9758168e-22,0.9997063,4.820779e-18,0.0,0.00029380646
round_2,phase1,2,0,D1_4,2,6.386432e-11,2.2620758e-10,1.0,3.037192e-26,0.0,0.0
round_4,phase3,2,0,D1_4,4,1.7325093e-06,7.712927e-27,0.0,0.0,0.9999981,0.0
round_4,phase2,2,0,D1_4,2,2.2550804e-32,3.5823244e-31,1.0,3.4108013e-16,0.0,2.3134e-41
round_4,phase1,2,0,D1_4,0,0.9999752,0.0,0.0,2.2141738e-05,2.7183876e-06,0.0
round_1,phase3,2,0,D1_4,1,1.401035e-12,1.0,7.8e-44,0.0,1.2318003e-38,0.0
round_1,phase2,2,0,D1_4,3,0.0146507295,0.0,5.355941e-17,0.9853493,2.7509193e-17,6.0366366e-24
round_1,phase1,2,0,D1_4,4,0.0015148054,1.144e-41,0.0,7.3027816e-36,0.9984848,8.990066e-32
round_3,phase3,3,1,D1_4,1,5.6729723e-09,0.9999943,5.3507733e-06,1.3467443e-25,6.2864366e-37,0.0
round_3,phase2,3,1,D1_4,0,1.0,1.202e-42,2.0238218e-09,9.237585e-14,2.6376262e-22,0.0
round_3,phase1,3,1,D1_4,4,0.0002983137,2.2779947e-15,0.0,0.0,0.99970156,2.4189e-41
round_2,phase3,3,1,D1_4,4,1.5978626e-06,3.9056906e-37,0.0,0.0,0.99999857,0.0
round_2,phase2,3,1,D1_4,3,0.0006476416,5.876114e-25,0.00032978432,0.9990226,6.4299464e-29,0.0
round_2,phase1,3,1,D1_4,1,8.5646906e-11,1.0,0.0,0.0,5.7186686e-08,0.0
