PLS1,Round,Phase,Individual,Puzzler,Cohort
-2.9876752306614573,round_3,phase3,1,1,D1_4
-1.455002117625081,round_3,phase2,1,1,D1_4
-2.0476375425943267,round_3,phase1,1,1,D1_4
-2.245173371069952,round_2,phase3,1,1,D1_4
-1.8657433178134757,round_2,phase2,1,1,D1_4
-3.0285581262151178,round_2,phase1,1,1,D1_4
-1.1925994881340922,round_4,phase3,1,1,D1_4
-1.6795575065339998,round_4,phase2,1,1,D1_4
-1.4165569050840343,round_4,phase1,1,1,D1_4
-2.1805934569889405,round_1,phase3,1,1,D1_4
-2.26579234439008,round_1,phase2,1,1,D1_4
-2.3730458434722306,round_1,phase1,1,1,D1_4
-1.1336854048335192,round_3,phase3,2,0,D1_4
-1.068925429941929,round_3,phase2,2,0,D1_4
-0.9696860874128101,round_3,phase1,2,0,D1_4
-0.4576951219859522,round_2,phase3,2,0,D1_4
0.840204041982333,round_2,phase2,2,0,D1_4
-2.196172467108253,round_2,phase1,2,0,D1_4
-0.5572562172930224,round_4,phase3,2,0,D1_4
-0.47257701347072983,round_4,phase2,2,0,D1_4
-0.8802187239981925,round_4,phase1,2,0,D1_4
-4.328395585458762,round_1,phase3,2,0,D1_4
-1.0108415565400837,round_1,phase2,2,0,D1_4
-0.9832566644522298,round_1,phase1,2,0,D1_4
-4.009442243912129,round_3,phase3,3,1,D1_4
-2.752416953720384,round_3,phase2,3,1,D1_4
-2.9767815228104633,round_3,phase1,3,1,D1_4
-2.363525728221883,round_2,phase3,3,1,D1_4
-2.0864997305974575,round_2,phase2,3,1,D1_4
-3.740547875397798,round_2,phase1,3,1,D1_4
-2.6317088046286123,round_4,phase3,3,1,D1_4
-0.8630707637332075,round_4,phase2,3,1,D1_4
-2.26481700785369,round_4,phase1,3,1,D1_4
-2.46923327014255,round_1,phase3,3,1,D1_4
-3.1275732796170677,round_1,phase2,3,1,D1_4
-1.7591451454078821,round_1,phase1,3,1,D1_4
-1.386261430324569,round_3,phase3,4,0,D1_4
0.26313850982654663,round_3,phase2,4,0,D1_4
-1.5677948848958088,round_3,phase1,4,0,D1_4
-1.0162519347422065,round_2,phase3,4,0,D1_4
0.5192503618575696,round_2,phase2,4,0,D1_4
-1.1282544167915853,round_2,phase1,4,0,D1_4
