Round,Phase,Individual,Puzzler,Cohort,q_cluster
round_3,phase3,1,1,D1_4,2
round_3,phase2,1,1,D1_4,3
round_3,phase1,1,1,D1_4,2
round_2,phase3,1,1,D1_4,2
round_2,phase2,1,1,D1_4,0
round_2,phase1,1,1,D1_4,0
round_4,phase3,1,1,D1_4,4
round_4,phase2,1,1,D1_4,1
round_4,phase1,1,1,D1_4,4
round_1,phase3,1,1,D1_4,0
round_1,phase2,1,1,D1_4,0
round_1,phase1,1,1,D1_4,2
round_3,phase3,2,0,D1_4,4
round_3,phase2,2,0,D1_4,4
round_3,phase1,2,0,D1_4,4
round_2,phase3,2,0,D1_4,4
round_2,phase2,2,0,D1_4,4
round_2,phase1,2,0,D1_4,4
round_4,phase3,2,0,D1_4,4
round_4,phase2,2,0,D1_4,4
round_4,phase1,2,0,D1_4,4
round_1,phase3,2,0,D1_4,4
round_1,phase2,2,0,D1_4,4
round_1,phase1,2,0,D1_4,4
round_3,phase3,3,1,D1_4,3
round_3,phase2,3,1,D1_4,3
round_3,phase1,3,1,D1_4,4
round_2,phase3,3,1,D1_4,4
round_2,phase2,3,1,D1_4,4
round_2,phase1,3,1,D1_4,4
round_4,phase3,3,1,D1_4,4
round_4,phase2,3,1,D1_4,4
round_4,phase1,3,1,D1_4,4
round_1,phase3,3,1,D1_4,4
round_1,phase2,3,1,D1_4,3
round_1,phase1,3,1,D1_4,4
round_3,phase3,4,0,D1_4,1
round_3,phase2,4,0,D1_4,1
round_3,phase1,4,0,D1_4,1
round_2,phase3,4,0,D1_4,1
round_2,phase2,4,0,D1_4,1
round_2,phase1,4,0,D1_4,1
round_4,phase3,4,0,D1_4,4
round_4,phase2,4,0,D1_4,1
round_4,phase1,4,0,D1_4,1
round_1,phase3,4,0,D1_4,1
round_1,phase2,4,0,D1_4,1
round_1,phase1,4,0,D1_4,1
round_3,phase3,5,0,D1_6,4
round_3,phase2,5,0,D1_6,5
round_3,phase1,5,0,D1_6,4
round_2,phase3,5,0,D1_6,3
round_2,phase2,5,0,D1_6,3
round_2,phase1,5,0,D1_6,4
round_4,phase3,5,0,D1_6,4
round_4,phase2,5,0,D1_6,5
round_4,phase1,5,0,D1_6,1
round_1,phase3,5,0,D1_6,3
round_1,phase2,5,0,D1_6,3
round_1,phase1,5,0,D1_6,1
round_3,phase3,6,1,D1_6,4
round_3,phase2,6,1,D1_6,4
round_3,phase1,6,1,D1_6,4
round_2,phase3,6,1,D1_6,3
