UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,Round,Phase,Individual,Puzzler,Cohort
9.200372,1.5413113,5.926174,2.9921153,7.483189,4.361438,0.8484605,9.7423525,2.183589,0.2010018,round_3,phase3,1,1,D1_4
9.339097,2.1045158,5.6895804,3.0461118,7.6838245,4.8843,1.1456095,9.986337,2.4858937,0.27212536,round_3,phase2,1,1,D1_4
9.316383,2.1111615,5.6419883,3.127347,7.6833477,4.8649564,1.1735076,10.038146,2.5565047,0.33196238,round_3,phase1,1,1,D1_4
9.184419,1.5433265,6.0052443,2.48994,8.3202715,3.8219638,0.62822497,10.193933,1.4184079,0.22894296,round_2,phase3,1,1,D1_4
9.308458,2.0750732,5.6743956,3.0507574,7.657456,4.8681316,1.1802976,9.970507,2.605727,0.29763043,round_2,phase2,1,1,D1_4
8.98271,0.9595111,6.1544585,2.5185795,8.35056,3.3033159,0.57636565,10.297586,1.2792022,0.028497444,round_2,phase1,1,1,D1_4
9.002385,1.9461085,5.828935,1.987959,7.8016553,4.813466,0.7351102,9.692823,2.1148794,0.13522737,round_4,phase3,1,1,D1_4
9.0876465,2.0329835,5.414498,3.6504703,7.809136,4.6040454,1.3313203,10.445437,2.826534,0.6427804,round_4,phase2,1,1,D1_4
9.274879,1.9369235,5.8042035,2.7485116,7.58952,4.756446,0.9779109,9.753979,2.352147,0.22207028,round_4,phase1,1,1,D1_4
9.2350855,1.6427215,5.943254,2.9053698,7.5392456,4.455851,0.9577496,9.653673,2.29986,0.21650195,round_1,phase3,1,1,D1_4
9.324654,1.9410737,5.7876906,3.0615697,7.5524974,4.7808285,0.96760696,9.892199,2.2634463,0.15784137,round_1,phase2,1,1,D1_4
9.23637,2.050405,5.6000853,3.26852,7.7405257,4.75325,1.2018737,10.176764,2.5711591,0.39459944,round_1,phase1,1,1,D1_4
8.949285,2.1797874,5.618549,1.8569467,7.7864885,4.7946568,0.44944155,9.627271,1.992698,0.512496,round_3,phase3,2,0,D1_4
8.789203,1.5771244,5.7737527,1.9735547,7.797654,4.585046,0.88027126,10.2206745,2.1959867,-0.2641392,round_3,phase2,2,0,D1_4
9.258721,2.0766258,5.679563,2.7420645,7.6010075,4.8252597,0.7635092,9.7047825,2.331563,0.58865637,round_3,phase1,2,0,D1_4
9.194398,2.1184566,5.6926217,2.399817,7.6283345,4.8606625,0.6632679,9.601794,2.2332206,0.5548531,round_2,phase3,2,0,D1_4
8.595414,1.572596,5.5997944,1.7814289,7.736407,4.5342956,0.81211066,10.30486,2.2985995,-0.0832042,round_2,phase2,2,0,D1_4
8.277044,0.3535249,5.8315725,2.7467222,7.6623693,3.2098308,0.6430157,10.243031,2.2218537,0.38973424,round_2,phase1,2,0,D1_4
9.247088,2.0507846,5.7151165,2.6611197,7.622142,4.803314,0.7399082,9.67157,2.2873707,0.54841226,round_4,phase3,2,0,D1_4
8.896057,2.1237948,5.5848904,1.7180148,7.688847,4.7946415,0.41047227,9.540157,2.0822704,0.5865555,round_4,phase2,2,0,D1_4
9.039673,2.30132,5.681677,1.8238381,7.9121327,4.8668838,0.52115995,9.570277,1.9456286,0.53151006,round_4,phase1,2,0,D1_4
8.407734,0.32051453,5.9371943,2.9154606,7.610353,3.1615307,0.6165407,10.122922,2.1105926,0.40984774,round_1,phase3,2,0,D1_4
9.157341,2.0918405,5.757184,2.2332907,7.8331523,4.7459645,0.55820733,9.653004,2.0024917,0.5057194,round_1,phase2,2,0,D1_4
9.045015,2.1615415,5.6873407,1.9142112,7.7403336,4.8845415,0.5461669,9.578954,2.0911975,0.43506017,round_1,phase1,2,0,D1_4
8.617204,0.29865348,6.255995,3.2820408,7.6330376,2.900183,0.58066195,9.746777,1.8114314,0.5853663,round_3,phase3,3,1,D1_4
8.504559,0.32983997,6.074503,3.0330925,7.677413,2.9885626,0.5418706,9.924623,1.9024956,0.56505054,round_3,phase2,3,1,D1_4
8.878972,0.9547415,6.508562,2.8553143,7.731733,4.0933757,1.037247,9.435829,2.0535998,-0.35990193,round_3,phase1,3,1,D1_4
9.049006,1.078477,6.324326,2.9835472,7.70278,3.9114537,0.94475716,9.540593,2.0264018,-0.038663376,round_2,phase3,3,1,D1_4
8.945945,1.1281422,6.110908,2.6194582,7.9091783,4.03138,1.0532598,10.241288,2.0713718,-0.45259103,round_2,phase2,3,1,D1_4
8.635378,0.26449937,6.2298164,3.187686,7.6758986,2.7908208,0.49266407,9.803614,1.6997448,0.5767262,round_2,phase1,3,1,D1_4
8.942739,0.9924121,6.4390955,2.9340973,7.7379727,4.0686746,1.0200306,9.494208,2.0455828,-0.28296053,round_4,phase3,3,1,D1_4
9.089043,2.0077171,5.7394633,2.143193,7.590024,4.805074,0.6796925,9.540895,2.2248633,0.44991317,round_4,phase2,3,1,D1_4
8.929084,1.0124482,6.481822,2.8837588,7.791274,4.1266737,0.9999145,9.4056225,1.9912391,-0.30288714,round_4,phase1,3,1,D1_4
9.007826,0.9766135,6.31197,3.0172975,7.725251,3.7824597,0.9230155,9.6454315,1.9858115,-0.031941745,round_1,phase3,3,1,D1_4
8.436523,0.38700378,6.0359364,3.391097,7.6275306,2.5644026,0.40128273,9.700622,1.7884674,1.2485076,round_1,phase2,3,1,D1_4
9.184526,1.7583112,5.9399133,2.3688102,8.311033,4.0198846,0.57642776,10.082936,1.4451168,0.3707403,round_1,phase1,3,1,D1_4
8.932533,1.6923587,5.676633,2.9998229,7.789631,4.0500317,0.55284303,10.06287,1.8152362,0.70726687,round_3,phase3,4,0,D1_4
8.571811,2.0939903,5.4871354,1.3224734,8.094672,4.4462657,0.4016356,9.784387,1.955662,0.81989413,round_3,phase2,4,0,D1_4
8.980444,2.3736289,5.6163507,1.7982647,8.0383835,4.8555655,0.56822246,9.688244,1.9722658,0.6149803,round_3,phase1,4,0,D1_4
