--- GLOBAL LEADERBOARD (Top 15 sorted by ARI) ---
Target_Variable Decomposition     Model  Optimal_K      ARI      NMI  Chi2_p-value  Cramers_V
          Phase  HR_data_umap   K-Means          2 0.083081 0.077414  8.905593e-10   0.357161
          Phase  HR_data_umap K-Medoids          2 0.053164 0.054331  6.350459e-07   0.292087
          Phase  HR_data_umap       GMM          5 0.047789 0.070944  2.051409e-08   0.264971
          Phase   HR_data_pca K-Medoids          2 0.046556 0.055881  2.363111e-07   0.302774
          Round   HR_data_pca   K-Means          2 0.041356 0.050755  3.334969e-07   0.310165
          Round   HR_data_pca       GMM          2 0.040911 0.047018  1.530951e-06   0.293424
          Phase  HR_data_spca       GMM          2 0.035067 0.035525  6.614806e-05   0.235451
          Phase   HR_data_pca   K-Means          2 0.033515 0.038440  4.740939e-05   0.239957
          Phase  HR_data_spca   K-Means          2 0.031957 0.039084  4.053851e-05   0.242046
          Round  HR_data_umap   K-Means          2 0.031842 0.036384  3.441543e-05   0.255635
          Round  HR_data_umap K-Medoids          2 0.029071 0.035229  5.121684e-05   0.250371
          Round  HR_data_spca K-Medoids          3 0.028015 0.052584  1.770203e-07   0.241183
          Round   HR_data_pca K-Medoids          2 0.026397 0.038650  1.403608e-05   0.267107
          Round  HR_data_umap       GMM          5 0.019638 0.037698  1.171235e-03   0.148455
          Round  HR_data_spca   K-Means          2 0.018976 0.027805  4.933890e-04   0.217768



Target_Variable,Decomposition,Model,Optimal_K,ARI,NMI,Chi2_p-value,Cramers_V
Cohort,HR_data_pca,GMM,2,0.004607864583661273,0.005735095294644322,0.5194986814413045,0.0
Cohort,HR_data_spca,K-Means,2,0.004333097333463861,0.006231250874030294,0.4753126462902355,0.0
Cohort,HR_data_pca,K-Means,2,-1.3433085444334186e-05,0.002568117952362925,0.8661330833009495,0.0
Cohort,HR_data_umap,GMM,5,-0.0006823278644533664,0.01830203366329937,0.529792381992828,0.0
Cohort,HR_data_spca,K-Medoids,3,-0.001050099435035671,0.004947784417143805,0.9415647257933512,0.0
Cohort,HR_data_spca,GMM,2,-0.003520501822530954,0.004426207307771431,0.6633611676445939,0.0
Cohort,HR_data_umap,K-Means,2,-0.004188542168632201,0.002115230106225513,0.9066504037000838,0.0
Cohort,HR_data_umap,K-Medoids,2,-0.004942306511740279,0.0005081999411261169,0.9961405600725749,0.0
Cohort,HR_data_pca,K-Medoids,2,-0.008602155433498402,0.004336688548786815,0.7059769654715504,0.0
Phase,HR_data_umap,K-Means,2,0.08308080618246078,0.07741417020402314,8.905593435029442e-10,0.3571606592396692
Phase,HR_data_umap,K-Medoids,2,0.053164433759926875,0.054331477146884875,6.350458704743451e-07,0.29208740193137833
Phase,HR_data_umap,GMM,5,0.04778939776655035,0.07094436538516052,2.0514093895375074e-08,0.26497066849693657
Phase,HR_data_pca,K-Medoids,2,0.04655648371989117,0.05588050941822684,2.3631105192358956e-07,0.30277440406516726
Phase,HR_data_spca,GMM,2,0.03506738878712492,0.035525075743303054,6.614806144585119e-05,0.2354511120200065
Phase,HR_data_pca,K-Means,2,0.03351500670312974,0.038439790185637236,4.740939125677871e-05,0.23995668631261716
Phase,HR_data_spca,K-Means,2,0.031956755842807105,0.039083871356644644,4.053850837761485e-05,0.24204563582395866
Phase,HR_data_spca,K-Medoids,3,0.007930774717725464,0.022096824841666158,0.007842978132655207,0.12586272021988704
Phase,HR_data_pca,GMM,2,0.006551113255118172,0.009401980923165042,0.07406838091292248,0.10142291990139837
Puzzler,HR_data_pca,K-Means,2,0.011970485629149489,0.012366696924139707,0.03181338232035241,0.107669660176638
Puzzler,HR_data_spca,K-Means,2,0.006507993689683969,0.008241980644348532,0.08682659785303837,0.07875745203517619
Puzzler,HR_data_spca,K-Medoids,3,0.00040373992623125095,0.00303880392404159,0.452491157650026,0.0
Puzzler,HR_data_pca,K-Medoids,2,-0.0019521024843206535,0.0006303447397455458,0.7058561490395623,0.0
Puzzler,HR_data_spca,GMM,2,-0.0027270603082442282,0.00028179923070184825,0.817265414654993,0.0
Puzzler,HR_data_pca,GMM,2,-0.002743008251423691,0.0002798481464512896,0.8177244424613326,0.0
Puzzler,HR_data_umap,K-Means,2,-0.0027961717259799425,0.0002735053350344973,0.8192299188259554,0.0
Puzzler,HR_data_umap,K-Medoids,2,-0.0030217145977309307,3.179475892771158e-05,1.0,0.0
Puzzler,HR_data_umap,GMM,5,-0.004612120628575413,0.0006493832899448086,0.9768620976211684,0.0
Round,HR_data_pca,K-Means,2,0.04135568455429413,0.050754645046695114,3.3349690786884105e-07,0.3101646693381351
Round,HR_data_pca,GMM,2,0.04091111868183171,0.04701839516716125,1.5309506067314127e-06,0.2934240272419542
Round,HR_data_umap,K-Means,2,0.031841692968334466,0.03638384247526936,3.441542620203701e-05,0.2556351780199091
Round,HR_data_umap,K-Medoids,2,0.02907079033654367,0.035229040674645266,5.121683659462533e-05,0.25037055145266
Round,HR_data_spca,K-Medoids,3,0.028015116141787564,0.052584339098064606,1.770202632188754e-07,0.24118336549160907
Round,HR_data_pca,K-Medoids,2,0.026397318466061834,0.03865039061659008,1.4036080276620325e-05,0.26710689512385544
Round,HR_data_umap,GMM,5,0.019638046017459797,0.03769830267070898,0.0011712352158732466,0.14845534292405943
Round,HR_data_spca,K-Means,2,0.018975778822552528,0.02780489764541488,0.0004933890032292832,0.2177682019213562
Round,HR_data_spca,GMM,2,0.004402522026602302,0.009276822377571135,0.1159213505711347,0.09662084336611343
