feature,cohens_d,mannwhitney_p,mean_cluster_0,mean_cluster_1
EDA_TD_P_std,1.8977,0.0,1.269231927207261,-0.34709607805259796
EDA_TD_P_Slope_max,1.7884,0.0,1.204433092485182,-0.329375580393907
EDA_TD_P_Slope_min,1.6772,0.0,-1.1730639844729214,0.32079708963137044
EDA_TD_T_std,1.5206,0.0,1.0831782220251782,-0.2962160852068854
EDA_TD_P_Mean,1.5048,0.0,1.138866827237339,-0.3114452139791906
EDA_TD_T_Slope_max,1.4725,0.0,1.109446461793639,-0.3033996446537706
EDA_TD_T_Mean,1.4517,0.0,1.0304352998357587,-0.2817925105673298
EDA_TD_T_Slope_min,1.3411,0.0,-1.069663242516463,0.29252015203511433
EDA_TD_T_Skew,0.6686,2e-06,-0.554600755707416,0.1516663291118239
EDA_TD_P_Slope_mean,0.6071,1e-06,0.5422833090304047,-0.1482978845103555
EDA_TD_T_Min,0.5391,1.5e-05,0.4882372012269504,-0.13351792849879862
Unnamed: 0,0.5029,0.000486,0.37831699780935146,-0.10345811776827162
HR_TD_std,0.4757,0.000902,-0.3483793489649327,0.09527108726796123
EDA_TD_P_Kurtosis,0.3807,0.004831,-0.2859902801271027,0.07820958681026892
HR_TD_Skew,0.3594,0.010065,-0.2737485792762011,0.07486185637349174
HR_TD_Slope_max,0.3465,0.031716,-0.2541353236388697,0.06949823136246633
EDA_TD_P_Skew,0.3142,0.022417,-0.2467510434040298,0.06747885676763257
HR_TD_Max,0.3107,0.056091,-0.23023762063658554,0.06296294115367826
HR_TD_Slope_min,0.31,0.046613,0.2338629733886731,-0.06395436415118809
EDA_TD_T_Kurtosis,0.3054,0.299414,0.274336579600955,-0.075022656462302
HR_TD_Min,0.2617,0.0411,0.2030026946133638,-0.0555150226085522
EDA_TD_P_RT,0.2388,0.018105,0.1819291173841385,-0.049752044345866255
TEMP_TD_AUC,0.2173,0.127208,0.17167726983194212,-0.0469484778724092
EDA_TD_P_Min,0.215,0.006105,0.16747075921363253,-0.0457981259890342
HR_TD_Slope_mean,0.178,0.269851,0.12860017619401384,-0.03516821144897521
EDA_TD_P_ReT,0.161,0.149974,-0.12847114582049438,0.03513292559172704
HR_TD_Kurtosis,0.1592,0.203546,-0.12152314254628767,0.03323285939020928
TEMP_TD_Mean,0.1395,0.293757,0.1121414503852797,-0.03066725377883139
EDA_TD_T_Slope_mean,0.1363,0.476359,0.12738996376974152,-0.03483725539825582
EDA_TD_P_Peaks,0.1269,0.467414,0.10309090536458315,-0.02819220677317171
EDA_TD_P_Slope,0.1072,0.221477,-0.10090207700866706,0.02759362922277835
HR_TD_AUC,0.1006,0.45487,0.08208043055350998,-0.022446485090143627
TEMP_TD_Kurtosis,0.0851,0.624811,-0.06556586539234864,0.01793025706647905
TEMP_TD_Slope_mean,0.0653,0.708089,0.05132890250443108,-0.014036883542028089
TEMP_TD_std,0.0363,0.789126,-0.02886389976179342,0.007893392996082362
TEMP_TD_Slope_max,0.0303,0.800914,0.02375933494718263,-0.00649745078147445
TEMP_TD_Skew,0.0245,0.858089,-0.018955665806597913,0.005183794322620668
HR_TD_Mean,0.0235,0.969523,-0.018215968571641147,0.004981509772652735
TEMP_TD_Slope_min,0.0152,0.818088,0.012073785041470693,-0.003301810603177664
original_ID,0.0,1.0,0.0,0.0
