feature,cohens_d,mannwhitney_p,mean_cluster_0,mean_cluster_1,mean_cluster_2
EDA_TD_T_Slope_max,3.6557,0.0,-0.5734981882338744,2.2449174225166133,0.10302557958086316
EDA_TD_T_Slope_min,3.5756,0.0,0.47317619201274097,-2.353957316001803,-0.025474476007992162
EDA_TD_P_std,3.3826,0.0,-0.6564334430035013,1.9251714832201228,0.19437746528122332
EDA_TD_P_Slope_max,3.3276,0.0,-0.5445654227660941,2.019253181209602,0.11116464062109097
EDA_TD_P_Slope_min,3.2541,0.0,0.5788383877654801,-2.0640257839444827,-0.12792674995723483
EDA_TD_P_Mean,2.3086,0.0,-0.6946360768698474,1.426553245118558,0.2781406475461744
EDA_TD_T_std,1.8497,0.0,-0.4518639298883842,1.3774602507166225,0.12760351831766517
EDA_TD_T_Skew,1.5912,0.0,0.1914675477350727,-1.4205502419195892,0.045221777618717984
EDA_TD_P_Peaks,1.2947,0.0,-0.6217531104417144,-0.49605901309539296,0.4593056150585237
EDA_TD_T_Kurtosis,1.2835,4.6e-05,-0.22052166662340536,1.3809301232834137,-0.02180826324227955
EDA_TD_P_Skew,1.1579,0.0,0.6061730193159408,0.24189129494663883,-0.41911548811241056
EDA_TD_P_Kurtosis,1.0752,0.0,0.5845880736268547,0.12793228189861644,-0.39169275883238625
EDA_TD_T_Mean,1.0043,0.0,-0.44949945377363426,0.5939906828528457,0.21903465192251176
EDA_TD_P_ReT,0.8477,0.0,0.470387659383116,0.14751034500807886,-0.32046277070533824
EDA_TD_P_Slope_mean,0.8217,0.0,-0.44368072664901853,0.41276818952052896,0.23678797094947465
HR_TD_AUC,0.8124,0.0,-0.466817402753638,0.14538242270439192,0.2834132939950423
TEMP_TD_AUC,0.7451,0.0,-0.4353902858763009,0.204976061739009,0.256101668324175
EDA_TD_P_Slope,0.6847,0.0,-0.3136064228259717,-0.5959251897289081,0.2726867863642251
EDA_TD_T_Min,0.6365,0.000728,-0.18682521319438827,-0.6687372091400005,0.19966980619265703
HR_TD_Slope_mean,0.5941,1e-06,-0.3622064004304614,0.037453964320341634,0.22884178756127352
EDA_TD_P_RT,0.5905,0.012028,0.18983401159263025,0.4173177099590927,-0.17177824424124716
HR_TD_Skew,0.5874,2e-06,0.35378014723199835,-0.1328436384657145,-0.21209729026365998
HR_TD_Kurtosis,0.5554,0.002785,0.2416611348213122,0.38136568697403694,-0.20089293105132414
HR_TD_Mean,0.5407,0.0,-0.3193690605894337,-0.024745301027833486,0.20863121033208987
HR_TD_std,0.4759,0.017326,-0.13623206701979737,-0.3371380612003339,0.12774211822295994
Unnamed: 0,0.4741,0.000145,-0.2820595000208668,0.020691623553654323,0.17921050230368407
EDA_TD_T_Slope_mean,0.4439,0.000255,-0.2154704959250812,-0.31545172587951903,0.1762040834967749
TEMP_TD_Skew,0.4288,0.000787,0.25310830499735454,0.030448263682546786,-0.16663141416402208
HR_TD_Slope_max,0.4081,0.000122,-0.2504512823962879,0.109085524814463,0.1483652552094524
TEMP_TD_Mean,0.3434,0.030557,-0.14797186023732348,0.16800587738778092,0.07537100927633628
EDA_TD_P_Min,0.3183,0.375421,0.159373522119087,-0.17107404912154808,-0.08235043214702494
TEMP_TD_Slope_min,0.2593,0.381002,-0.027971600467577788,-0.23322039445194984,0.04568582337172216
TEMP_TD_Kurtosis,0.245,0.113008,0.09577891567556023,0.16420492325349154,-0.0811700552278937
HR_TD_Min,0.2353,0.021138,-0.1466973810614393,0.0915689004434107,0.08361895215645507
HR_TD_Max,0.2304,0.008806,-0.11970821214351826,-0.12349482161722589,0.09175213241990263
TEMP_TD_std,0.2073,0.087192,-0.11689518154358211,-0.09858062674146999,0.08698442857366806
HR_TD_Slope_min,0.1664,0.381669,-0.10563301085724704,0.03798764386934829,0.06352781195745687
TEMP_TD_Slope_max,0.1094,0.353599,-0.06410579619697661,-0.031063465158594067,0.04497397477280117
TEMP_TD_Slope_mean,0.0609,0.881448,-0.02679946381661448,0.032628996794262774,0.013389434702906943
original_ID,0.0,1.0,0.0,0.0,0.0
