feature,cohens_d,mannwhitney_p,mean_cluster_0,mean_cluster_1
EDA_TD_P_Min,0.7022,1.2e-05,-0.3020644183695424,0.3478948818463005
EDA_TD_P_Slope_max,0.6487,0.0,0.2848059720453155,-0.3280179126315012
HR_TD_Max,0.6458,1e-06,0.283099417684048,-0.32605243278093843
EDA_TD_T_Slope_min,0.6137,8e-06,-0.26909931340668053,0.3099281747511424
EDA_TD_P_std,0.6134,3e-06,0.2699328070994015,-0.3108881295558625
EDA_TD_P_Slope_min,0.5876,2e-06,-0.260036331381662,0.2994901195912936
EDA_TD_T_Slope_max,0.563,9.5e-05,0.2489031812453263,-0.2866678018480655
EDA_TD_P_Slope_mean,0.5065,0.000601,0.2255893256887011,-0.2598166716552627
EDA_TD_T_Skew,0.482,0.000377,-0.21628044245125555,0.24909540613351502
HR_TD_std,0.4714,0.000687,0.21189005126017102,-0.24403888662378315
HR_TD_Slope_max,0.4661,0.002135,0.20859171052514233,-0.2402401079841296
HR_TD_Slope_min,0.4616,0.003038,-0.20649238817972382,0.23782226776561308
EDA_TD_T_std,0.4605,0.002139,0.2063244659459999,-0.23762886767573774
EDA_TD_T_Mean,0.4542,0.000508,0.20460557721785447,-0.23564918203711485
HR_TD_Kurtosis,0.4527,0.001745,0.2029955057302402,-0.2337948238410353
TEMP_TD_std,0.4488,0.000356,0.2027249182073595,-0.2334831816595104
EDA_TD_P_Mean,0.4361,0.004584,0.1959953967008547,-0.2257326293037431
HR_TD_Mean,0.3902,0.005076,0.17666337020804515,-0.20346746775685223
HR_TD_Skew,0.3677,0.002327,0.16742416952808165,-0.1928264573185492
EDA_TD_P_RT,0.3615,0.004219,0.1644361880162578,-0.1893851268876897
HR_TD_AUC,0.3465,0.009541,0.15690750911039908,-0.18071416566508042
EDA_TD_T_Kurtosis,0.3344,0.029967,0.15195240908520696,-0.17500725736020392
EDA_TD_P_ReT,0.3314,0.011251,0.1508872277167249,-0.17378046226684868
EDA_TD_P_Kurtosis,0.3232,0.033884,0.14731377709029356,-0.16966483292468296
TEMP_TD_Slope_max,0.2792,0.077608,0.12797700705573303,-0.14739420812625809
EDA_TD_P_Slope,0.2779,0.012997,0.12590243127735365,-0.1450048691263314
EDA_TD_P_Skew,0.2507,0.05516,0.11495033427754392,-0.13239107465068867
TEMP_TD_Mean,0.2459,0.063999,-0.11294266495955799,0.13007879343618087
TEMP_TD_Skew,0.2254,0.13463,-0.10406393007826258,0.11985294015910247
TEMP_TD_Slope_min,0.1922,0.205573,-0.08838037604460793,0.10178981240999674
TEMP_TD_Kurtosis,0.1607,0.058936,-0.07465074931672576,0.08597706990271177
Unnamed: 0,0.1324,0.244098,0.061579262911174874,-0.07092232349080138
EDA_TD_P_Peaks,0.1315,0.090451,-0.060754787216239566,0.06997275493180692
EDA_TD_T_Slope_mean,0.1247,0.136277,-0.05725691105595434,0.06594416652651294
TEMP_TD_Slope_mean,0.1139,0.513321,0.05253062555765817,-0.060500789435371786
HR_TD_Min,0.1127,0.274752,0.0518399185031201,-0.05970528544842047
EDA_TD_T_Min,0.0897,0.537528,0.04118973352830812,-0.04743921033949957
TEMP_TD_AUC,0.0465,0.856217,0.02140753320392453,-0.024655572724520906
HR_TD_Slope_mean,0.0366,0.965876,-0.016827694800433272,0.019380862287395578
original_ID,0.0,1.0,0.0,0.0
