feature,cohens_d,mannwhitney_p,mean_cluster_0,mean_cluster_1,mean_cluster_2
EDA_TD_P_Mean,1.6567,0.0,-0.4452632508707131,-0.47873831956933866,0.9350203989878223
EDA_TD_P_std,1.5129,0.0,-0.4493065330345054,-0.4071957432089708,0.872041930011017
HR_TD_std,1.4424,0.0,0.5127258641497685,-0.6224404480762772,0.028654627947813812
HR_TD_Max,1.4268,0.0,0.49233713822004116,-0.653978725296774,0.08052598905963512
EDA_TD_P_Slope_max,1.4253,0.0,-0.38468726860274,-0.42425717728712503,0.8178438862170678
EDA_TD_T_Slope_max,1.3669,0.0,-0.3838229602196339,-0.4350841506813321,0.827100331657167
EDA_TD_P_Slope_min,1.2929,0.0,0.38796162647598986,0.36599313149324814,-0.766534329321902
EDA_TD_T_std,1.2416,0.0,-0.4897884846443176,-0.13780176848409098,0.6623600177001983
HR_TD_Slope_min,1.217,0.0,-0.5189095152810926,0.5388545950637781,0.056786116410640006
EDA_TD_T_Slope_min,1.2156,0.0,0.4243890170891487,0.290356434123157,-0.7349140196498144
EDA_TD_T_Mean,1.0806,0.0,-0.4112972351324829,-0.15434734171934625,0.592592062928298
HR_TD_Slope_max,1.0743,0.0,0.37210856899940864,-0.5513834527734677,0.11464111836012224
EDA_TD_P_Slope_mean,0.9588,0.0,-0.3129989078632291,-0.33100826875510336,0.6520745606788999
EDA_TD_P_Peaks,0.8609,0.0,-0.13273781021572564,-0.367715335436322,0.49063128428625724
HR_TD_Mean,0.8441,0.0,0.24529388513628111,-0.48235917173817644,0.18753324779941355
HR_TD_AUC,0.8279,0.0,0.14084704344794058,-0.43705501098683924,0.25844142912188395
EDA_TD_P_Skew,0.7743,0.0,0.18427937866477215,0.28320017812305975,-0.4670845406639932
EDA_TD_T_Kurtosis,0.7354,6e-06,-0.05288811370439097,-0.35406094780489983,0.39094544341715615
EDA_TD_T_Skew,0.7113,3e-05,0.016138407285953952,0.3649284045860927,-0.3612189986492994
EDA_TD_P_Kurtosis,0.6375,0.0,0.15843205220014392,0.23347447573106908,-0.3921496504109691
TEMP_TD_AUC,0.5913,5.2e-05,-0.13578017900288436,-0.17442812842371386,0.31191173306236075
EDA_TD_P_Slope,0.5476,7.6e-05,-0.16665727115554985,-0.22251319112691606,0.39077081464788793
EDA_TD_P_ReT,0.5303,0.000129,0.08776227794261228,0.22649458767531253,-0.3087315546997853
HR_TD_Skew,0.5114,0.000115,0.3199570385848082,-0.17542347438512218,-0.18270981850622975
EDA_TD_T_Slope_mean,0.5105,0.000886,0.047503913397483465,-0.3162353574650838,0.24615913954946583
EDA_TD_P_RT,0.4797,0.000703,-0.17673841233770524,0.31979301165067636,-0.10898271794458803
HR_TD_Kurtosis,0.473,0.000735,0.2840072815979763,-0.12039907072926086,-0.19543791920616546
EDA_TD_P_Min,0.423,0.084293,0.24006359487139697,-0.09449884310747123,-0.17204596936089075
HR_TD_Slope_mean,0.4013,0.008481,-0.22134702321164285,0.015616666294133604,0.22598106766187423
TEMP_TD_Kurtosis,0.3625,0.0487,0.17870237859979743,-0.1726119591671837,-0.03176025596078148
EDA_TD_T_Min,0.3534,0.00952,-0.20246043709261125,0.04695505478766513,0.17593134601911606
TEMP_TD_std,0.3087,0.072716,0.18556364309485304,-0.12557636946071749,-0.08351670086343618
Unnamed: 0,0.307,0.02764,-0.08018004127041052,-0.10900432614347792,0.1898406238660518
HR_TD_Min,0.2794,0.028328,-0.09892712004366024,-0.0813551331692466,0.18418723652725197
TEMP_TD_Skew,0.2714,0.11895,0.12541928320264203,0.02638421632682093,-0.16122552138250038
TEMP_TD_Slope_min,0.2644,0.123548,-0.09325681433325103,0.16679763717607662,-0.05567580194908068
TEMP_TD_Mean,0.2603,0.103225,-0.14130141785143724,0.03659101066962772,0.11918864819812748
TEMP_TD_Slope_max,0.238,0.202694,0.1543386197622534,-0.07215196659512889,-0.09987557916160081
TEMP_TD_Slope_mean,0.1424,0.233863,-0.02589257854039381,0.08126698217789519,-0.04837794635661873
original_ID,0.0,1.0,0.0,0.0,0.0
